module,path,layer,component,incoming,outgoing,dependency_score,ownership_score,duplicate_group,duplicate_count,recommendation,status
delbot_platform.ai.__init__,delbot_platform/ai/__init__.py,ai,module,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.ai.client.__init__,delbot_platform/ai/client/__init__.py,ai,module,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.ai.client.llm_client,delbot_platform/ai/client/llm_client.py,ai,module,3,0,0,1,,1,KEEP,CANONICAL
delbot_platform.ai.embedding.base_embedding_provider,delbot_platform/ai/embedding/base_embedding_provider.py,ai,module,2,0,0,1,,1,KEEP,CANONICAL
delbot_platform.ai.embedding.embedding_config,delbot_platform/ai/embedding/embedding_config.py,ai,module,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.ai.embedding.embedding_request,delbot_platform/ai/embedding/embedding_request.py,ai,module,4,0,0,1,,1,KEEP,CANONICAL
delbot_platform.ai.embedding.embedding_result,delbot_platform/ai/embedding/embedding_result.py,ai,module,2,0,0,1,,1,KEEP,CANONICAL
delbot_platform.ai.embedding.providers.infinity_embedding_provider,delbot_platform/ai/embedding/providers/infinity_embedding_provider.py,ai,module,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.ai.process.__init__,delbot_platform/ai/process/__init__.py,ai,module,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.ai.process.process_info,delbot_platform/ai/process/process_info.py,ai,module,4,0,0,1,,1,KEEP,CANONICAL
delbot_platform.ai.process.process_manager,delbot_platform/ai/process/process_manager.py,ai,module,1,0,8,1,process,2,KEEP,CANONICAL
delbot_platform.ai.process.process_monitor,delbot_platform/ai/process/process_monitor.py,ai,module,1,0,0,1,,1,KEEP,CANONICAL
delbot_platform.ai.process.process_registry,delbot_platform/ai/process/process_registry.py,ai,registry,3,0,8,1,process,2,KEEP,CANONICAL
delbot_platform.ai.recovery.__init__,delbot_platform/ai/recovery/__init__.py,ai,module,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.ai.recovery.recovery,delbot_platform/ai/recovery/recovery.py,ai,module,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.ai.registry.__init__,delbot_platform/ai/registry/__init__.py,ai,module,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.ai.registry.exceptions,delbot_platform/ai/registry/exceptions.py,ai,module,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.ai.registry.model_backend,delbot_platform/ai/registry/model_backend.py,ai,model,3,0,0,1,,1,KEEP,CANONICAL
delbot_platform.ai.registry.model_backend_config,delbot_platform/ai/registry/model_backend_config.py,ai,model,2,0,0,1,,1,KEEP,CANONICAL
delbot_platform.ai.registry.model_category,delbot_platform/ai/registry/model_category.py,ai,model,7,0,0,1,,1,KEEP,CANONICAL
delbot_platform.ai.registry.model_info,delbot_platform/ai/registry/model_info.py,ai,model,1,0,0,1,,1,KEEP,CANONICAL
delbot_platform.ai.registry.model_runtime,delbot_platform/ai/registry/model_runtime.py,ai,model,3,0,0,1,,1,KEEP,CANONICAL
delbot_platform.ai.registry.registry,delbot_platform/ai/registry/registry.py,ai,registry,9,0,0,1,,1,KEEP,CANONICAL
delbot_platform.ai.vector_store.base_vector_store,delbot_platform/ai/vector_store/base_vector_store.py,ai,module,1,0,0,1,,1,KEEP,CANONICAL
delbot_platform.ai.vector_store.providers.qdrant_vector_store,delbot_platform/ai/vector_store/providers/qdrant_vector_store.py,ai,module,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.api.__init__,delbot_platform/api/__init__.py,api,module,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.api.__main__,delbot_platform/api/__main__.py,api,module,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.api.main,delbot_platform/api/main.py,api,module,1,0,0,1,,1,KEEP,CANONICAL
delbot_platform.api.routers.__init__,delbot_platform/api/routers/__init__.py,api,module,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.api.routes.workspace,delbot_platform/api/routes/workspace.py,api,module,1,0,0,1,,1,KEEP,CANONICAL
delbot_platform.api.schemas.__init__,delbot_platform/api/schemas/__init__.py,api,module,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.application.__init__,delbot_platform/application/__init__.py,application,module,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.application.documents.__init__,delbot_platform/application/documents/__init__.py,application,module,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.application.documents.index,delbot_platform/application/documents/index.py,application,module,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.application.documents.index_repository,delbot_platform/application/documents/index_repository.py,application,module,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.application.factory.__init__,delbot_platform/application/factory/__init__.py,application,module,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.application.factory.application_factory,delbot_platform/application/factory/application_factory.py,application,factory,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.application.repository.__init__,delbot_platform/application/repository/__init__.py,application,module,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.application.repository.ingest,delbot_platform/application/repository/ingest.py,application,module,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.application.research.__init__,delbot_platform/application/research/__init__.py,application,module,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.boot.__init__,delbot_platform/boot/__init__.py,boot,module,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.boot.boot_result,delbot_platform/boot/boot_result.py,boot,module,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.boot.boot_state,delbot_platform/boot/boot_state.py,boot,module,1,0,0,1,,1,KEEP,CANONICAL
delbot_platform.boot.service_boot,delbot_platform/boot/service_boot.py,boot,service,1,0,0,1,,1,KEEP,CANONICAL
delbot_platform.boot.service_health,delbot_platform/boot/service_health.py,boot,service,1,0,0,1,,1,KEEP,CANONICAL
delbot_platform.boot.service_waiter,delbot_platform/boot/service_waiter.py,boot,service,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.config.__init__,delbot_platform/config/__init__.py,config,module,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.config.models,delbot_platform/config/models.py,config,model,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.config.validator,delbot_platform/config/validator.py,config,module,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.controller.__init__,delbot_platform/controller/__init__.py,controller,module,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.controller.service_controller,delbot_platform/controller/service_controller.py,controller,service,3,0,0,1,,1,KEEP,CANONICAL
delbot_platform.core.__init__,delbot_platform/core/__init__.py,core,module,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.core.config_manager,delbot_platform/core/config_manager.py,core,module,3,0,0,1,,1,KEEP,CANONICAL
delbot_platform.core.environment,delbot_platform/core/environment.py,core,module,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.core.lifecycle.__init__,delbot_platform/core/lifecycle/__init__.py,core,module,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.core.lifecycle.boot_policy,delbot_platform/core/lifecycle/boot_policy.py,core,module,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.core.lifecycle.orchestrator,delbot_platform/core/lifecycle/orchestrator.py,core,module,2,0,0,1,,1,KEEP,CANONICAL
delbot_platform.core.lifecycle.service_definition,delbot_platform/core/lifecycle/service_definition.py,core,service,11,0,0,1,,1,KEEP,CANONICAL
delbot_platform.core.lifecycle.service_dependency,delbot_platform/core/lifecycle/service_dependency.py,core,service,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.core.lifecycle.service_event,delbot_platform/core/lifecycle/service_event.py,core,service,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.core.lifecycle.service_loader,delbot_platform/core/lifecycle/service_loader.py,core,service,1,0,0,1,,1,KEEP,CANONICAL
delbot_platform.core.lifecycle.service_registry,delbot_platform/core/lifecycle/service_registry.py,core,service,1,0,0,1,,1,KEEP,CANONICAL
delbot_platform.core.lifecycle.service_state,delbot_platform/core/lifecycle/service_state.py,core,service,1,0,0,1,,1,KEEP,CANONICAL
delbot_platform.core.lifecycle.state_machine,delbot_platform/core/lifecycle/state_machine.py,core,module,1,0,0,1,,1,KEEP,CANONICAL
delbot_platform.core.logger,delbot_platform/core/logger.py,core,module,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.core.path_manager,delbot_platform/core/path_manager.py,core,module,12,0,0,1,,1,KEEP,CANONICAL
delbot_platform.core.runtime_manager,delbot_platform/core/runtime_manager.py,core,module,3,0,0,1,,1,KEEP,CANONICAL
delbot_platform.document_intelligence.__init__,delbot_platform/document_intelligence/__init__.py,document_intelligence,module,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.document_intelligence.analyzer.__init__,delbot_platform/document_intelligence/analyzer/__init__.py,document_intelligence,module,0,0,0,1,,1,KEEP,CANONICAL
delbot_platform.document_intelligence.analyzer.document_analyzer,delbot_platform/document_intelligence/analyzer/document_analyzer.py,document_intelligence,module,4,0,0,1,,1,KEEP,CANONICAL
delbot_platform.document_intelligence.analyzer.heading_detector,delbot_platform/document_intelligence/analyzer/heading_detector.py,document_intelligence,module,2,0,0,1,,1,KEEP,CANONICAL
delbot_platform.document_intelligence.analyzer.layout_statistics_analyzer,delbot_platform/document_intelligence/analyzer/layout_statistics_analyzer.py,document_intelligence,module,1,0,0,1,,1,KEEP,CANONICAL
delbot_platform.document_intelligence.analyzer.page_text_analyzer,delbot_platform/document_intelligence/analyzer/page_text_analyzer.py,document_intelligence,module,2,0,0,1,,1,KEEP,CANONICAL
