module,path,layer,component,incoming,outgoing,classes,functions,async_functions,lines,size
.backup.stage_4_24.gateway,.backup/stage_4_24/gateway.py,other,module,0,0,1,1,1,127,1763
delbot_platform.__init__,delbot_platform/__init__.py,other,module,0,0,0,0,0,0,0
delbot_platform.__main__,delbot_platform/__main__.py,other,module,0,0,0,3,0,144,2158
delbot_platform.ai.__init__,delbot_platform/ai/__init__.py,ai,module,0,0,0,0,0,0,0
delbot_platform.ai.client.__init__,delbot_platform/ai/client/__init__.py,ai,module,0,0,0,0,0,0,0
delbot_platform.ai.client.embedding_client,delbot_platform/ai/client/embedding_client.py,ai,module,4,0,1,2,0,50,715
delbot_platform.ai.client.llm_client,delbot_platform/ai/client/llm_client.py,ai,module,3,0,1,2,0,72,984
delbot_platform.ai.client.reranker_client,delbot_platform/ai/client/reranker_client.py,ai,reranker,0,0,1,2,0,60,1104
delbot_platform.ai.embedding.base_embedding_provider,delbot_platform/ai/embedding/base_embedding_provider.py,ai,module,2,0,1,2,0,45,981
delbot_platform.ai.embedding.embedding_builder,delbot_platform/ai/embedding/embedding_builder.py,ai,builder,0,0,1,2,0,61,1407
delbot_platform.ai.embedding.embedding_config,delbot_platform/ai/embedding/embedding_config.py,ai,module,0,0,1,0,0,20,311
delbot_platform.ai.embedding.embedding_request,delbot_platform/ai/embedding/embedding_request.py,ai,module,4,0,1,0,0,23,415
delbot_platform.ai.embedding.embedding_result,delbot_platform/ai/embedding/embedding_result.py,ai,module,2,0,1,1,0,28,463
delbot_platform.ai.embedding.embedding_service,delbot_platform/ai/embedding/embedding_service.py,ai,service,0,0,1,2,0,60,1363
delbot_platform.ai.embedding.providers.infinity_embedding_provider,delbot_platform/ai/embedding/providers/infinity_embedding_provider.py,ai,module,0,0,1,2,0,40,886
delbot_platform.ai.http.http_client,delbot_platform/ai/http/http_client.py,ai,module,0,0,1,7,0,86,1442
delbot_platform.ai.process.__init__,delbot_platform/ai/process/__init__.py,ai,module,0,0,0,0,0,0,0
delbot_platform.ai.process.process_info,delbot_platform/ai/process/process_info.py,ai,module,4,0,1,1,0,43,627
delbot_platform.ai.process.process_manager,delbot_platform/ai/process/process_manager.py,ai,module,1,0,1,6,0,182,3209
delbot_platform.ai.process.process_monitor,delbot_platform/ai/process/process_monitor.py,ai,module,1,0,1,5,0,67,1134
delbot_platform.ai.process.process_registry,delbot_platform/ai/process/process_registry.py,ai,registry,3,0,1,10,0,157,2695
delbot_platform.ai.recovery.__init__,delbot_platform/ai/recovery/__init__.py,ai,module,0,0,0,0,0,0,0
delbot_platform.ai.recovery.recovery,delbot_platform/ai/recovery/recovery.py,ai,module,0,0,1,2,0,60,928
delbot_platform.ai.registry.__init__,delbot_platform/ai/registry/__init__.py,ai,module,0,0,0,0,0,0,0
