candidate,count,incoming,outgoing,layers,components
document,13,30,0,api;document_intelligence;documents;knowledge;repository,builder;loader;module;parser;pipeline
embedding,9,13,0,ai;gateway;orchestrator;research,builder;module;service
research,6,10,0,api;gateway;research,module
repository,6,9,0,api;documents;knowledge;vectorstore,module
gateway,5,6,0,documents;gateway;knowledge;orchestrator;other,module
chat,5,4,0,gateway;research,module
local,5,4,0,documents;gateway;knowledge,module
result,4,12,0,knowledge;repository;workflows,module
response,4,10,0,gateway;knowledge,module
citation,4,4,0,documents;knowledge;research,builder;module
reranker,4,0,0,ai;gateway;knowledge;orchestrator,reranker
block,3,14,0,document_intelligence;documents,module
client,3,4,0,gateway;research;vectorstore,module
chunk,3,3,0,documents,builder;module
loader,3,2,0,ai;config;repository,loader
artifact,3,0,0,documents;knowledge;workflows,module
test_rag,3,0,0,other,module;pipeline
chunk_metadata,2,11,0,documents,mapper;module
document_chunk,2,10,0,documents;knowledge,module
graph,2,10,0,knowledge;other,builder;module
source,2,8,0,documents;knowledge,module
page,2,7,0,document_intelligence;documents,module
heading,2,6,0,document_intelligence;documents,module
indexing,2,5,0,documents,module
paragraph,2,4,0,document_intelligence,builder;module
process,2,4,0,ai,module;registry
qdrant,2,4,0,knowledge,module
manager,2,3,0,config;documents,module
semantic_chunk,2,3,0,document_intelligence,builder;module
research_result,2,2,0,research,builder;module
health,2,1,0,gateway;orchestrator,module
infinity,2,1,0,gateway;launcher,module
memory,2,1,0,documents;knowledge,module
pdf,2,1,0,document_intelligence;documents,loader;module
vllm,2,1,0,gateway;launcher,module
answer,2,0,0,application;research,module
app,2,0,0,api;gateway,module
context,2,0,0,knowledge;research,builder;module
http,2,0,0,ai;repository,module
pymupdf,2,0,0,document_intelligence;documents,mapper;module
vector,2,0,0,documents,mapper;module
vision,2,0,0,gateway;orchestrator,module
