package,modules,canonical,merge,review,legacy,action,reason
__init__,19,19,0,0,0,KEEP,Entire package canonical
__main__,2,2,0,0,0,KEEP,Entire package canonical
ai_runtime,1,1,0,0,0,KEEP,Entire package canonical
analyzer,5,5,0,0,0,KEEP,Entire package canonical
backend,4,4,0,0,0,KEEP,Entire package canonical
base,1,1,0,0,0,KEEP,Entire package canonical
boot_result,1,1,0,0,0,KEEP,Entire package canonical
boot_state,1,1,0,0,0,KEEP,Entire package canonical
builders,2,2,0,0,0,KEEP,Entire package canonical
chunking,4,4,0,0,0,KEEP,Entire package canonical
circular,1,1,0,0,0,KEEP,Entire package canonical
config_manager,1,1,0,0,0,KEEP,Entire package canonical
context,3,3,0,0,0,KEEP,Entire package canonical
debug,2,2,0,0,0,KEEP,Entire package canonical
dependency,1,1,0,0,0,KEEP,Entire package canonical
doctor,1,1,0,0,0,KEEP,Entire package canonical
documents,3,3,0,0,0,KEEP,Entire package canonical
environment,1,1,0,0,0,KEEP,Entire package canonical
exceptions,1,1,0,0,0,KEEP,Entire package canonical
factory,7,7,0,0,0,KEEP,Entire package canonical
filter,1,1,0,0,0,KEEP,Entire package canonical
gateway_launcher,1,1,0,0,0,KEEP,Entire package canonical
generator,2,2,0,0,0,KEEP,Entire package canonical
graph_filter,1,1,0,0,0,KEEP,Entire package canonical
ingestion,4,4,0,0,0,KEEP,Entire package canonical
inspect_pymupdf_span,1,1,0,0,0,KEEP,Entire package canonical
inventory,1,1,0,0,0,KEEP,Entire package canonical
layer,1,1,0,0,0,KEEP,Entire package canonical
lifecycle,10,10,0,0,0,KEEP,Entire package canonical
logger,1,1,0,0,0,KEEP,Entire package canonical
main,1,1,0,0,0,KEEP,Entire package canonical
manifest,2,2,0,0,0,KEEP,Entire package canonical
memory,2,2,0,0,0,KEEP,Entire package canonical
metrics,1,1,0,0,0,KEEP,Entire package canonical
other,25,25,0,0,0,KEEP,Entire package canonical
paddleocr,1,1,0,0,0,KEEP,Entire package canonical
path_manager,1,1,0,0,0,KEEP,Entire package canonical
process,5,5,0,0,0,KEEP,Entire package canonical
prompt_builder,1,1,0,0,0,KEEP,Entire package canonical
recovery,2,2,0,0,0,KEEP,Entire package canonical
request,1,1,0,0,0,KEEP,Entire package canonical
research_api_launcher,1,1,0,0,0,KEEP,Entire package canonical
resolver,6,6,0,0,0,KEEP,Entire package canonical
router,1,1,0,0,0,KEEP,Entire package canonical
runtime_manager,1,1,0,0,0,KEEP,Entire package canonical
scanner,1,1,0,0,0,KEEP,Entire package canonical
service,1,1,0,0,0,KEEP,Entire package canonical
service_boot,1,1,0,0,0,KEEP,Entire package canonical
service_controller,1,1,0,0,0,KEEP,Entire package canonical
service_health,1,1,0,0,0,KEEP,Entire package canonical
service_waiter,1,1,0,0,0,KEEP,Entire package canonical
session_manager,1,1,0,0,0,KEEP,Entire package canonical
shutdown,1,1,0,0,0,KEEP,Entire package canonical
spec,1,1,0,0,0,KEEP,Entire package canonical
startup,1,1,0,0,0,KEEP,Entire package canonical
state,2,2,0,0,0,KEEP,Entire package canonical
status,1,1,0,0,0,KEEP,Entire package canonical
storage,1,1,0,0,0,KEEP,Entire package canonical
structure,4,4,0,0,0,KEEP,Entire package canonical
tests,4,4,0,0,0,KEEP,Entire package canonical
validator,1,1,0,0,0,KEEP,Entire package canonical
vector_store,2,2,0,0,0,KEEP,Entire package canonical
whisper,1,1,0,0,0,KEEP,Entire package canonical
providers,9,6,1,0,2,MERGE,Merge candidates detected
citation,3,2,1,0,0,MERGE,Merge candidates detected
classification,8,7,1,0,0,MERGE,Merge candidates detected
hydration,4,2,2,0,0,MERGE,Merge candidates detected
llm,2,0,2,0,0,MERGE,Merge candidates detected
qdrant,4,2,2,0,0,MERGE,Merge candidates detected
stage_4_24,1,0,1,0,0,MERGE,Merge candidates detected
catalog,5,4,0,0,1,PARTIAL,Contains legacy modules
discovery,5,4,0,0,1,PARTIAL,Contains legacy modules
vector,8,7,0,0,1,PARTIAL,Contains legacy modules
app,2,0,0,0,2,REMOVE,Entire package marked legacy
health,1,0,0,0,1,REMOVE,Entire package marked legacy
http,1,0,0,0,1,REMOVE,Entire package marked legacy
infinity,1,0,0,0,1,REMOVE,Entire package marked legacy
manager,1,0,0,0,1,REMOVE,Entire package marked legacy
mappermupdf_mapper,1,0,0,0,1,REMOVE,Entire package marked legacy
rerank,1,0,0,0,1,REMOVE,Entire package marked legacy
vllm,1,0,0,0,1,REMOVE,Entire package marked legacy
registry,16,11,1,1,3,REVIEW,Manual verification required
routers,15,4,3,5,3,REVIEW,Manual verification required
services,15,9,2,1,3,REVIEW,Manual verification required
loader,9,4,2,1,2,REVIEW,Manual verification required
parser,9,6,0,1,2,REVIEW,Manual verification required
pipeline,21,18,0,1,2,REVIEW,Manual verification required
rag,15,9,1,3,2,REVIEW,Manual verification required
client,5,2,1,1,1,REVIEW,Manual verification required
repository,7,5,0,1,1,REVIEW,Manual verification required
research,3,1,0,1,1,REVIEW,Manual verification required
builder,5,4,0,1,0,REVIEW,Manual verification required
download,4,3,0,1,0,REVIEW,Manual verification required
embedding,21,17,2,2,0,REVIEW,Manual verification required
extraction,7,6,0,1,0,REVIEW,Manual verification required
graph,8,6,0,2,0,REVIEW,Manual verification required
integration,2,1,0,1,0,REVIEW,Manual verification required
mapper,5,3,1,1,0,REVIEW,Manual verification required
metadata,9,7,1,1,0,REVIEW,Manual verification required
models,50,37,6,7,0,REVIEW,Manual verification required
openai,3,1,1,1,0,REVIEW,Manual verification required
processor,2,1,0,1,0,REVIEW,Manual verification required
reranking,5,2,2,1,0,REVIEW,Manual verification required
research_engine,1,0,0,1,0,REVIEW,Manual verification required
response,1,0,0,1,0,REVIEW,Manual verification required
retrieval,6,5,0,1,0,REVIEW,Manual verification required
routes,3,1,0,2,0,REVIEW,Manual verification required
schemas,4,1,1,2,0,REVIEW,Manual verification required
