canonical_name,recommendation,dependency_score,ownership_score,count,layers
chunk_metadata,KEEP,22,1,2,documents
indexing,KEEP,10,1,2,documents
paragraph,KEEP,8,1,2,document_intelligence
process,KEEP,8,1,2,ai
qdrant,KEEP,8,1,2,knowledge
chunk,KEEP,6,1,3,documents
semantic_chunk,KEEP,6,1,2,document_intelligence
research_result,KEEP,4,1,2,research
test_rag,KEEP,0,1,3,other
vector,KEEP,0,1,2,documents
manager,LEGACY,6,2,2,config;documents
loader,LEGACY,4,3,3,ai;config;repository
health,LEGACY,2,2,2,gateway;orchestrator
infinity,LEGACY,2,2,2,gateway;launcher
memory,LEGACY,2,2,2,documents;knowledge
pdf,LEGACY,2,2,2,document_intelligence;documents
vllm,LEGACY,2,2,2,gateway;launcher
answer,LEGACY,0,2,2,application;research
app,LEGACY,0,2,2,api;gateway
artifact,LEGACY,0,3,3,documents;knowledge;workflows
context,LEGACY,0,2,2,knowledge;research
http,LEGACY,0,2,2,ai;repository
pymupdf,LEGACY,0,2,2,document_intelligence;documents
reranker,LEGACY,0,4,4,ai;gateway;knowledge;orchestrator
vision,LEGACY,0,2,2,gateway;orchestrator
repository,MERGE,18,4,6,api;documents;knowledge;vectorstore
source,MERGE,16,2,2,documents;knowledge
page,MERGE,14,2,2,document_intelligence;documents
gateway,MERGE,12,5,5,documents;gateway;knowledge;orchestrator;other
heading,MERGE,12,2,2,document_intelligence;documents
chat,MERGE,8,2,5,gateway;research
citation,MERGE,8,3,4,documents;knowledge;research
client,MERGE,8,3,3,gateway;research;vectorstore
local,MERGE,8,3,5,documents;gateway;knowledge
document,REVIEW,60,5,13,api;document_intelligence;documents;knowledge;repository
block,REVIEW,28,2,3,document_intelligence;documents
embedding,REVIEW,26,4,9,ai;gateway;orchestrator;research
result,REVIEW,24,3,4,knowledge;repository;workflows
document_chunk,REVIEW,20,2,2,documents;knowledge
graph,REVIEW,20,2,2,knowledge;other
research,REVIEW,20,3,6,api;gateway;research
response,REVIEW,20,2,4,gateway;knowledge
