package,modules,canonical,merge,review,legacy
__init__,19,19,0,0,0
__main__,2,2,0,0,0
ai_runtime,1,1,0,0,0
analyzer,5,5,0,0,0
app,2,0,0,0,2
backend,4,4,0,0,0
base,1,1,0,0,0
boot_result,1,1,0,0,0
boot_state,1,1,0,0,0
builder,5,4,0,1,0
builders,2,2,0,0,0
catalog,5,4,0,0,1
chunking,4,4,0,0,0
circular,1,1,0,0,0
citation,3,2,1,0,0
classification,8,7,1,0,0
client,5,2,1,1,1
config_manager,1,1,0,0,0
context,3,3,0,0,0
debug,2,2,0,0,0
dependency,1,1,0,0,0
discovery,5,4,0,0,1
doctor,1,1,0,0,0
documents,3,3,0,0,0
download,4,3,0,1,0
embedding,21,17,2,2,0
environment,1,1,0,0,0
exceptions,1,1,0,0,0
extraction,7,6,0,1,0
factory,7,7,0,0,0
filter,1,1,0,0,0
gateway_launcher,1,1,0,0,0
generator,2,2,0,0,0
graph,8,6,0,2,0
graph_filter,1,1,0,0,0
health,1,0,0,0,1
http,1,0,0,0,1
hydration,4,2,2,0,0
infinity,1,0,0,0,1
ingestion,4,4,0,0,0
inspect_pymupdf_span,1,1,0,0,0
integration,2,1,0,1,0
inventory,1,1,0,0,0
layer,1,1,0,0,0
lifecycle,10,10,0,0,0
llm,2,0,2,0,0
loader,9,4,2,1,2
logger,1,1,0,0,0
main,1,1,0,0,0
manager,1,0,0,0,1
manifest,2,2,0,0,0
mapper,5,3,1,1,0
mappermupdf_mapper,1,0,0,0,1
memory,2,2,0,0,0
metadata,9,7,1,1,0
metrics,1,1,0,0,0
models,50,37,6,7,0
openai,3,1,1,1,0
other,25,25,0,0,0
paddleocr,1,1,0,0,0
parser,9,6,0,1,2
path_manager,1,1,0,0,0
pipeline,21,18,0,1,2
process,5,5,0,0,0
processor,2,1,0,1,0
prompt_builder,1,1,0,0,0
providers,9,6,1,0,2
qdrant,4,2,2,0,0
rag,15,9,1,3,2
recovery,2,2,0,0,0
registry,16,11,1,1,3
repository,7,5,0,1,1
request,1,1,0,0,0
rerank,1,0,0,0,1
reranking,5,2,2,1,0
research,3,1,0,1,1
research_api_launcher,1,1,0,0,0
research_engine,1,0,0,1,0
resolver,6,6,0,0,0
response,1,0,0,1,0
retrieval,6,5,0,1,0
router,1,1,0,0,0
routers,15,4,3,5,3
routes,3,1,0,2,0
runtime_manager,1,1,0,0,0
scanner,1,1,0,0,0
schemas,4,1,1,2,0
service,1,1,0,0,0
service_boot,1,1,0,0,0
service_controller,1,1,0,0,0
service_health,1,1,0,0,0
service_waiter,1,1,0,0,0
services,15,9,2,1,3
session_manager,1,1,0,0,0
shutdown,1,1,0,0,0
spec,1,1,0,0,0
stage_4_24,1,0,1,0,0
startup,1,1,0,0,0
state,2,2,0,0,0
status,1,1,0,0,0
storage,1,1,0,0,0
structure,4,4,0,0,0
tests,4,4,0,0,0
validator,1,1,0,0,0
vector,8,7,0,0,1
vector_store,2,2,0,0,0
vllm,1,0,0,0,1
whisper,1,1,0,0,0
