module,path,layer,status,incoming,outgoing,action,reason
delbot_platform.ai.registry.loader,delbot_platform/ai/registry/loader.py,ai,LEGACY,1,0,BLOCKED,Referenced by other modules
delbot_platform.config.loader,delbot_platform/config/loader.py,config,LEGACY,1,0,BLOCKED,Referenced by other modules
delbot_platform.document_intelligence.loader.pdf_loader,delbot_platform/document_intelligence/loader/pdf_loader.py,document_intelligence,LEGACY,1,0,BLOCKED,Referenced by other modules
delbot_platform.documents.registry.manager,delbot_platform/documents/registry/manager.py,documents,LEGACY,3,0,BLOCKED,Referenced by other modules
delbot_platform.documents.registry.memory,delbot_platform/documents/registry/memory.py,documents,LEGACY,1,0,BLOCKED,Referenced by other modules
delbot_platform.gateway.providers.infinity,delbot_platform/gateway/providers/infinity.py,gateway,LEGACY,1,0,BLOCKED,Referenced by other modules
delbot_platform.gateway.providers.vllm,delbot_platform/gateway/providers/vllm.py,gateway,LEGACY,1,0,BLOCKED,Referenced by other modules
delbot_platform.gateway.routers.health,delbot_platform/gateway/routers/health.py,gateway,LEGACY,1,0,BLOCKED,Referenced by other modules
delbot_platform.ai.__init__,delbot_platform/ai/__init__.py,ai,CANONICAL,0,0,KEEP,Canonical module
delbot_platform.ai.client.__init__,delbot_platform/ai/client/__init__.py,ai,CANONICAL,0,0,KEEP,Canonical module
delbot_platform.ai.client.llm_client,delbot_platform/ai/client/llm_client.py,ai,CANONICAL,3,0,KEEP,Canonical module
delbot_platform.ai.embedding.base_embedding_provider,delbot_platform/ai/embedding/base_embedding_provider.py,ai,CANONICAL,2,0,KEEP,Canonical module
delbot_platform.ai.embedding.embedding_config,delbot_platform/ai/embedding/embedding_config.py,ai,CANONICAL,0,0,KEEP,Canonical module
delbot_platform.ai.embedding.embedding_request,delbot_platform/ai/embedding/embedding_request.py,ai,CANONICAL,4,0,KEEP,Canonical module
delbot_platform.ai.embedding.embedding_result,delbot_platform/ai/embedding/embedding_result.py,ai,CANONICAL,2,0,KEEP,Canonical module
