==========================================================
ANONYMOUS MEMORY AUDIT
==========================================================
PID      RSS_MB     ANON_MB    SHMEM_MB   CMD

21910    2704.1     2704.1     0.0        runtime/bin/qdrant --config-path runtime/qdrant_config/config.yaml 
950852   2304.9     2123.8     57.8       VLLM::EngineCore                                                                                                                                  
1518438  1557.9     1557.9     0.0        python -m delbot_platform.gateway 
1521094  1260.1     1260.1     0.0        python -m delbot_platform.ai.runtime.reranker 
1520914  818.4      818.4      0.0        python -m delbot_platform.ai.runtime.embedding 
950448   653.0      653.0      0.0        python3 -m vllm.entrypoints.openai.api_server --model /workspace/Qwen3-30B-MoE --port 11435 --max-model-len 32768 --trust-remote-code --gpu-memory-utilization 0.8 
1620187  622.0      620.6      0.0        /home/delbot/.vscode-server/cli/servers/Stable-e4c7e7b1d6d060162f4aa7f8225271b67ce1df75/server/node /home/delbot/.vscode-server/extensions/ms-python.vscode-pylance-2026.2.108/dist/server.bundle.js --cancellationReceive=file:0d4d660aed5c92a24e0edd9a38ae5b639f8f67d853 --node-ipc --clientProcessId=1619280 
1619280  518.9      518.9      0.0        /home/delbot/.vscode-server/cli/servers/Stable-e4c7e7b1d6d060162f4aa7f8225271b67ce1df75/server/node --dns-result-order=ipv4first /home/delbot/.vscode-server/cli/servers/Stable-e4c7e7b1d6d060162f4aa7f8225271b67ce1df75/server/out/bootstrap-fork --type=extensionHost --transformURIs --useHostProxy=false 
1522086  495.0      495.0      0.0        python -m delbot_platform.api 
1617604  168.1      168.1      0.0        /home/delbot/.vscode-server/cli/servers/Stable-e4c7e7b1d6d060162f4aa7f8225271b67ce1df75/server/node /home/delbot/.vscode-server/cli/servers/Stable-e4c7e7b1d6d060162f4aa7f8225271b67ce1df75/server/node_modules/@github/copilot-linux-x64/index.js --headless --no-auto-update --log-level info --stdio --no-auto-login 
